Dataset_Size,Precision,Recall,F1-Score,Accuracy,Processing_Time_sec
564,0.06885245901639345,0.011475409836065573,0.019672131147540985,0.8781119878869056,0.0702676773071289
563,0.06885245901639345,0.011475409836065573,0.019672131147540985,0.8778951053030745,0.09782576560974121
562,0.06885245901639345,0.011475409836065573,0.019672131147540985,0.877677449519301,0.06348037719726562
561,0.07049180327868852,0.011748633879781421,0.020140515222482436,0.8775175644028103,0.06807804107666016
560,0.07049180327868852,0.011748633879781421,0.020140515222482436,0.877298454500132,0.06120181083679199
559,0.07049180327868852,0.011748633879781421,0.020140515222482436,0.8770785592573007,0.06488823890686035
558,0.07,0.011864406779661017,0.020289855072463767,0.8786355475763016,0.0904388427734375
557,0.07,0.011864406779661017,0.020289855072463767,0.8784172661870504,0.09183049201965332
556,0.07,0.011864406779661017,0.020289855072463767,0.8781981981981982,0.04951667785644531
555,0.07,0.011864406779661017,0.020289855072463767,0.8779783393501805,0.06553220748901367
554,0.07,0.011864406779661017,0.020289855072463767,0.8777576853526221,0.06450295448303223
553,0.07,0.011864406779661017,0.020289855072463767,0.8775362318840579,0.0670924186706543
552,0.07,0.011864406779661017,0.020289855072463767,0.8773139745916515,0.047991275787353516
551,0.12333333333333334,0.020903954802259886,0.0357487922705314,0.879030303030303,0.07863259315490723
550,0.07,0.011864406779661017,0.020289855072463767,0.8768670309653916,0.08060026168823242
549,0.09515859766277128,0.016101694915254237,0.027542884754771683,0.8775851581508516,0.0791783332824707
548,0.06791171477079797,0.011689070718877849,0.019945150835203193,0.8781953955318688,0.08622050285339355
547,0.06621392190152801,0.011396843950905903,0.01944652206432311,0.8779102253678525,0.08367156982421875
546,0.06791171477079797,0.011689070718877849,0.019945150835203193,0.8777484061576738,0.06566357612609863
545,0.04310344827586207,0.007562008469449486,0.012866700977869275,0.878422920892495,0.032025814056396484
544,0.0706896551724138,0.012401693889897156,0.021101389603705608,0.8792150885883026,0.04777073860168457
543,0.0706896551724138,0.012401693889897156,0.021101389603705608,0.878992238198244,0.09532976150512695
542,0.04310344827586207,0.007562008469449486,0.012866700977869275,0.8777487411562241,0.06362247467041016
541,0.07241379310344828,0.012704174228675136,0.021616057642820385,0.8786079182630907,0.0637979507446289
540,0.12089810017271158,0.02117362371445856,0.036036036036036036,0.880206000895656,0.04789876937866211
539,0.11443661971830986,0.020363408521303257,0.03457446808510638,0.8816278614752494,0.06374764442443848
538,0.03508771929824561,0.006265664160401002,0.010632642211589579,0.8784017772550557,0.04961037635803223
537,0.11775043936731107,0.020989974937343357,0.03562882212177612,0.8812843676355067,0.04780697822570801
536,0.03859649122807018,0.006892230576441102,0.011695906432748537,0.8780783735038531,0.0637505054473877
535,0.11775043936731107,0.020989974937343357,0.03562882212177612,0.8808397397989356,0.04790306091308594
534,0.06315789473684211,0.011278195488721804,0.019138755980861243,0.8785425101214575,0.063232421875
533,0.08963093145869948,0.015977443609022556,0.027120446689710184,0.8793364991425934,0.06391787528991699
532,0.0913884007029877,0.016290726817042606,0.027652220154214306,0.8791753394786401,0.07956886291503906
531,0.06607142857142857,0.012012987012987014,0.02032967032967033,0.8798517520215633,0.08985400199890137
530,0.06545454545454546,0.012121212121212121,0.020454545454545458,0.8814916652345763,0.047789812088012695
529,0.06545454545454546,0.012121212121212121,0.020454545454545458,0.881267217630854,0.0482792854309082
528,0.06545454545454546,0.012121212121212121,0.020454545454545458,0.881041918233569,0.048050880432128906
527,0.06727272727272728,0.012457912457912458,0.021022727272727273,0.8808848945731075,0.06355500221252441
526,0.06727272727272728,0.012457912457912458,0.021022727272727273,0.8806580086580087,0.06378865242004395
525,0.06909090909090909,0.012794612794612794,0.02159090909090909,0.880499653018737,0.09780216217041016
524,0.06727272727272728,0.012457912457912458,0.021022727272727273,0.8802016339301234,0.09477972984313965
523,0.06727272727272728,0.012457912457912458,0.021022727272727273,0.879972135144549,0.05057549476623535
522,0.09289617486338798,0.01717171717171717,0.028985507246376812,0.8807537951491886,0.04771113395690918
